"","target_end_date","target_type","model","mad","bias","dss","crps","log_score","ae_median","se_mean"
"1","2020-04-03","hosps","Unspecified model",13.1773886010056,-0.26,5.32484167023731,3.7373174655567,3.63047208516303,4.64970349241659,21.0071574588014
"2","2020-04-03","deaths","Unspecified model",3.93326545938524,-0.864,4.88098178714749,3.85230825260465,3.45189254156973,5.76347842253666,34.904181660166
"3","2020-04-04","hosps","Unspecified model",14.3410959376956,1,16.2308243969682,36.8755738346313,11.9274133796587,43.9695404648913,1977.86443346176
"4","2020-04-04","deaths","Unspecified model",3.65177040868095,-0.284,2.79171129041266,1.05208223202801,2.32545275813718,1.45866232529459,1.90787844304313
"5","2020-04-05","hosps","Unspecified model",12.4976205787319,-0.412,5.45788244868082,4.77023563674909,3.73460627303158,7.66101032339905,52.965286163847
"6","2020-04-05","deaths","Unspecified model",4.00655940849798,-0.476,3.27264327572888,1.68455259146429,2.64362036938882,2.70906617534963,7.16526879991533
"7","2020-04-06","hosps","Unspecified model",13.9586537456765,-0.876,7.74259219323332,14.499592151832,4.5885705054965,22.1812282983525,470.515801124844
"8","2020-04-06","deaths","Unspecified model",4.11924064745868,0.54,3.33067666388702,1.71321250295189,2.5026165693678,2.82615446541984,8.85586365919412
"9","2020-04-07","hosps","Unspecified model",13.2496042406081,0.76,6.27358343904837,8.3709867329819,4.02634854901271,13.6045411593661,193.255143849802
"10","2020-04-07","deaths","Unspecified model",4.0764829939859,0.516,3.26974954627561,1.71407686243498,2.57707223879931,2.84672806610164,8.20610699339732
"11","2020-04-08","hosps","Unspecified model",13.0911425930125,-0.996,14.008985602147,32.8210633470668,7.55111454223955,40.952770978093,1641.61990615216
"12","2020-04-08","deaths","Unspecified model",4.06891062680468,-0.92,5.6811247354641,4.73417553005103,3.6842785139383,6.84791359556264,47.1787701723911
"13","2020-04-09","hosps","Unspecified model",13.1567628548262,-0.992,12.1281473441307,26.6909043610458,6.69526119698483,33.7604552706602,1152.46704516064
"14","2020-04-09","deaths","Unspecified model",3.8693889325954,0.876,5.07762163627937,4.07833917588921,3.41289989995474,6.27359359778618,37.5299991184259
"15","2020-04-10","hosps","Unspecified model",12.2515398299691,1,15.8989719927912,35.6957583596794,8.21491597530917,43.6228416418041,1854.69065522498
"16","2020-04-10","deaths","Unspecified model",3.88655888768858,0.148,2.76525872716645,0.94275647435147,2.29871601669009,0.4990830908568,0.347299767887528
"17","2020-04-11","hosps","Unspecified model",14.0145584794303,-0.736,6.50123992071997,9.41825509731002,4.16037772793435,15.2354049920762,241.674075793393
"18","2020-04-11","deaths","Unspecified model",4.2216984600561,0.212,2.88086878661966,1.06414842092639,2.46347943922551,0.993897045078896,0.548797926438789
"19","2020-04-12","hosps","Unspecified model",13.5097809030415,0.972,9.41752620419627,19.554307563957,5.33278742241021,27.3212458364028,717.887648483928
"20","2020-04-12","deaths","Unspecified model",3.83502377358595,0.344,2.92156051238022,1.1608771956134,2.3879630148519,1.48851384552393,1.97775106705515
"21","2020-04-13","hosps","Unspecified model",13.187814905086,-0.916,8.4061184318561,16.8567537960654,5.01070740685152,23.6926531773774,585.677629833082
"22","2020-04-13","deaths","Unspecified model",4.00405665273692,0.404,3.06731186812175,1.42097142848141,2.46180744080365,2.18152267648904,4.92910560563781
"23","2020-04-14","hosps","Unspecified model",13.4057005802639,-0.996,12.7561279327087,29.7730539570785,7.11724844492231,36.768999484654,1400.24817833869
"24","2020-04-14","deaths","Unspecified model",4.32023713336949,0.484,3.39396712389994,1.78159453171978,2.65392420265597,3.08688803398618,8.79631169419949
"25","2020-04-15","hosps","Unspecified model",12.7946932389382,0.744,6.35764578675643,8.76858269309739,4.06957164866696,14.2095157732169,206.739416828479
"26","2020-04-15","deaths","Unspecified model",3.91158543325257,0.748,4.28192574293757,3.22866216618205,3.11282843560336,5.36899590969092,25.0440460268078
"27","2020-04-16","hosps","Unspecified model",12.4090976651145,-0.592,5.86315890270499,6.34528957007592,3.82064712224157,10.9404754622697,119.740913455222
"28","2020-04-16","deaths","Unspecified model",3.70821900479458,0.828,4.92326505655321,3.84425544375091,3.38101712684584,5.76161842778369,33.3924289030981
"29","2020-04-17","hosps","Unspecified model",12.9669232981491,1,39.2125886421759,69.0833147287856,41.0812637749744,76.0180084899306,5845.22033158608
"30","2020-04-17","deaths","Unspecified model",4.32771918598126,-0.856,4.99069265650702,4.03806724078952,3.40992482279772,6.17199435137288,37.7479660197462
"31","2020-04-18","hosps","Unspecified model",13.2594046342149,1,31.3146251118757,61.6018424114631,19.5006838754485,68.8213849956552,4786.14799810872
"32","2020-04-18","deaths","Unspecified model",4.00704113954569,-0.316,2.97311044672377,1.23128085826166,2.51598744798561,1.8678164563986,2.39276183171355
"33","2020-04-19","hosps","Unspecified model",13.8298752476949,-1,28.8228422060251,56.9388329640341,26.9928135608709,64.2932951610478,4145.12045899299
"34","2020-04-19","deaths","Unspecified model",4.36490501805585,0.532,3.4183555607047,1.82754472807881,2.61775765477475,2.99156886810084,9.41174066779122
"35","2020-04-20","hosps","Unspecified model",14.33448968141,-0.036,5.207614147554,3.27756234872032,3.62467443699602,0.683252753714697,0.0150136057483496
"36","2020-04-20","deaths","Unspecified model",3.94129012968769,-0.308,3.03751961012686,1.19904266961402,2.39949050275003,1.47753460017314,2.71155786805725
"37","2020-04-21","hosps","Unspecified model",13.1141833714223,-0.28,5.29915918432829,3.63892104329723,3.60873424864677,4.4763149593757,16.2020814032243
