instance,Number of initial infected,Rate of exposure to infected,Seasonality multiplier,Shielding by susceptible,Proportion of isolated in homes,Proportion of isolated in nursing homes,Time of initial seeding of infection,Probability of stay at home,Probability of protective behaviors
1003,587.317287414342,0.0626536318279101,0.065523198733566,0.942715774411923,0.489887098533695,0.636014562804808,128.13491479091,0.969203733191575,0.443799576077499
1017,586.578945153692,0.043928504149264,0.176849554812822,0.888692599151419,0.367976901199182,0.598226818279174,108.674330758133,0.922571639437357,0.395917703867889
1044,522.017574296628,0.0488306397912137,0.0260871857484722,0.906825540942997,0.511631152180597,0.662014699545546,97.7339610458884,0.905160339156927,0.354392417911967
1085,440.326920788675,0.07229619382359,0.135077634195739,0.956487192736486,0.272110871074082,0.603311358265481,114.816119582955,0.973319335521968,0.412178791426079
1109,524.153038230874,0.0561036699013345,0.022186220217615,0.947098127386069,0.433653736123116,0.617543117377182,81.9113154049,0.926236009860988,0.376854927202663
1110,582.987577683887,0.0387523200516092,0.054871236597121,0.810468458910798,0.380762988319615,0.601700872092521,117.105837431592,0.940786883032846,0.482611907403054
1111,551.884266709634,0.0787729841621095,0.133571452575491,0.993555965841326,0.376971649302296,0.497799431481655,120.496413820532,0.97990526583134,0.389336858455686
1118,584.082672943577,0.0644288059733597,0.0499765374266302,0.981560839796062,0.27955054939794,0.344572926946177,108.602907533968,0.943718173975999,0.424971235812906
1130,551.430197131518,0.0536053073997354,0.112599284958319,0.913413305520842,0.316544003650342,0.457980944451036,114.673395167374,0.943473275319245,0.408771075603867
1200,465.381388483031,0.0620298544848167,0.18133361649899,0.952408085506572,0.490692206296446,0.580036138088669,104.773415084852,0.979595399468057,0.461123796383558
1201,448.038860683052,0.0737312737331662,0.238065298768567,0.992704937620689,0.32429309501981,0.538339142520259,116.332904813535,0.987772014970671,0.475913618366042
1204,472.912968547386,0.0559544392118412,0.169289988600209,0.956293375246148,0.525263136044558,0.582644578778338,65.2866924392255,0.969695451857397,0.494596194435107
1205,535.984799156768,0.0604328439529,0.196268265877684,0.996338167035985,0.621614855416202,0.387713610981286,80.9668187451374,0.976225801757567,0.460195507153981
1209,599.469688001478,0.0563813529598535,0.0843673551911551,0.925792882412415,0.204662414551467,0.661416105350721,114.839772461698,0.948289176596084,0.424891380698077
1212,553.528105090526,0.071323012744343,0.0428387315409497,0.958631876318604,0.289457141925999,0.775587843240198,123.591642681702,0.969090799056315,0.389019877500724
1219,563.177462126423,0.0674997869738962,0.0561075939477712,0.983726131888909,0.214693624658647,0.660137432864926,121.648855777059,0.955184538126108,0.427321829423622
1226,578.143962763484,0.0424950675317946,0.119579556239846,0.8906334219715,0.247497442922178,0.490080031192495,113.717888636364,0.927282489853225,0.474621634953832
1227,574.546748031354,0.0368879270138477,0.0264077882169686,0.800478963450499,0.32724608660513,0.599457601588103,129.435502980717,0.934538926015163,0.450061543793827
1228,578.64256127285,0.0512219833321589,0.146791402484013,0.932955024221076,0.372826686967006,0.565110322616561,109.64724301788,0.948642024496854,0.444669840181451
1231,568.289847265238,0.0532369100129515,0.0965731252929999,0.925075878477718,0.210502083081519,0.658585782406931,112.511919602325,0.947121493223288,0.46740663696322
1233,557.090104611122,0.0676503721458213,0.160190642663884,0.99880838235698,0.411666434699465,0.699955772029558,103.950891989838,0.977363576065581,0.447172467585028
1238,581.303722968778,0.0449077036453158,0.153018142242449,0.892951569071367,0.215237531076568,0.684889911801514,125.62964988082,0.951804736352076,0.486350431131116
1241,598.089901105746,0.0657874548549188,0.0199411121836176,0.96885547236879,0.367224247390847,0.733477177601798,129.791631534694,0.960684369640506,0.427743275479516
1244,595.68963071654,0.0570092552389132,0.0899759592545382,0.929618483963171,0.396437841566362,0.71000378393674,114.210186917161,0.948837061045461,0.419065886858583
1252,560.406942491474,0.0558774694783884,0.0391290901307871,0.954705599715794,0.405151610379541,0.528104296434841,86.8224970975791,0.943793034117905,0.438634536569052
1254,421.43869666932,0.0606133064276943,0.116184988075054,0.965911115370291,0.570497832464806,0.616013380235669,61.196727128519,0.976498024891769,0.49243898848323
1257,477.10788542349,0.066092656839423,0.19413844029555,0.996900077852312,0.432963010859836,0.379635789637813,65.4769773020878,0.979918691249293,0.489386250896106
1259,497.40739204672,0.0681508280864894,0.097351489357989,0.951208332637876,0.454031784620377,0.790553116560702,111.080169953239,0.978229303517811,0.440256139546203
1275,575.024020926902,0.0565953334400199,0.266561452831028,0.927680262920697,0.438546367029742,0.509734418295719,133.087913348084,0.967039280301205,0.422905316669983
1279,540.908517765171,0.0677189980862388,0.249154388751597,0.937722518777423,0.293525586213527,0.36032067657868,144.180674325134,0.985045571447427,0.417630490450689
1289,562.421819550049,0.0654004333790743,0.115724667327041,0.978215443100855,0.515411615886777,0.6046495412982,129.671366502881,0.956295922017106,0.380065228440931
1291,575.255357011731,0.0541007986527265,0.132769001017421,0.962927091323977,0.449181380372915,0.592309316267118,108.851623717095,0.922683215640101,0.406733237304733
1292,572.13456050176,0.0528312747647135,0.24423975156545,0.942328643344104,0.511104065828888,0.519295681167656,117.888634641064,0.959906734005218,0.428982289090777
1296,581.800823877604,0.0698149350690617,0.051126039570893,0.988302589885563,0.512510064161588,0.441781426975805,120.483187497563,0.942678401223144,0.38228231549273
1298,584.739596537501,0.0526564321425887,0.133647144490033,0.942110405517917,0.448859450645327,0.447091195786445,113.482536898957,0.947789041983877,0.450627439812521
1304,548.696854210281,0.0699046117447003,0.177521504196003,0.996877527542094,0.595037166680908,0.448627655995472,134.847967005322,0.94263661702342,0.339273319354041
1306,586.007004465747,0.0488664842864065,0.193950160623386,0.96341263566734,0.489019893593758,0.657084673871904,110.600782185348,0.932038606727684,0.452848789275351
1308,583.832129592733,0.041791887353625,0.227749374913871,0.892858694030756,0.495068438116724,0.515298599472425,130.994323906686,0.938191117135835,0.468026122970872
1310,570.263472108957,0.060100328161698,0.210455404608154,0.991136550906551,0.396763897915263,0.538494129499893,102.564142899309,0.938614310832726,0.386047743420554
1312,592.387354033934,0.0589932503548524,0.155283046781345,0.953085968391534,0.427752335618553,0.362238366801404,109.871890735057,0.954632059703413,0.426597820078753
1314,583.166145849869,0.0610879791302603,0.190869130445102,0.988500837916595,0.448220129809793,0.777779234678176,130.939353289169,0.966303245459419,0.438688871614709
1315,587.212428389138,0.0613955455574473,0.279791740956419,0.995593025576293,0.662490407319681,0.547743228692167,125.387236572312,0.959642416398038,0.369612864401884
1316,589.211505077183,0.0512666169667028,0.2198880176177,0.975017132954819,0.450588179689813,0.614077911691218,106.689115809622,0.951429240893207,0.460502278869266
1318,589.411104915543,0.0539254287830995,0.167683413162934,0.9904502304894,0.337662054506665,0.650184527271204,96.753677243861,0.949790477561075,0.47104484331967
1321,584.692587340094,0.0540316327333413,0.2348357924403,0.981636436236118,0.439683175093225,0.743779351613705,94.2833674259097,0.953798962536566,0.423640245542845
1325,578.809681745221,0.0577559733961767,0.0715670568029841,0.915475411392523,0.315460205722678,0.689857910851946,117.414617225663,0.95774349717358,0.434956322914648
1333,575.381383162509,0.0503192011124145,0.240722658087795,0.942205703774209,0.582862449227408,0.72126086010421,109.068413891384,0.971462176361348,0.482239661957156
1340,559.432350025407,0.0571585946958807,0.226580253396788,0.989828549292125,0.320838362116337,0.558991005865443,111.564860301223,0.947834515258293,0.447287563859882
1343,564.308354337139,0.0557681411260213,0.244922292630231,0.923525406435118,0.376174682398506,0.43255291007916,119.847163351497,0.97525514711846,0.443784697526513
1344,583.141269403957,0.059596973157984,0.18988631729514,0.964965970079698,0.52961544084066,0.488970815093007,122.777879074357,0.957235515518898,0.420006377145199
1346,558.122050206668,0.0485017162228839,0.283811629968958,0.943071266147964,0.424798104889737,0.769724586277762,107.992599387919,0.965295510898879,0.486021496421931
1347,597.337906778835,0.0584619927289837,0.0686654476779382,0.945783474755074,0.221107675667256,0.762617352937298,109.627609442441,0.948767761577602,0.441788367744158
1349,583.032975823336,0.051679235301494,0.213712220694868,0.939122807901876,0.392435900974895,0.647531745420597,128.881703406727,0.957433371764882,0.473571883034846
1350,577.919755458881,0.0680383291430294,0.0521208060759267,0.974106305662066,0.330095001997766,0.756825354570964,124.169912677821,0.959610840846124,0.416998269521667
1351,593.157290986862,0.0465035003291182,0.13965824253335,0.910137375628246,0.502792252984602,0.769737370636897,105.363506542765,0.94847729786102,0.446607961639555
1363,590.097973000774,0.0604633096348034,0.111487539547935,0.966609812594365,0.368664857229511,0.710903977821318,120.044573902411,0.961706711526791,0.431215573252309
1364,557.384010089739,0.0660634677669154,0.0757822478806286,0.965342235039184,0.417752852404772,0.772934568477519,128.68217582781,0.965389177301042,0.437268252546575
1365,572.884798462131,0.054871754132612,0.0553658653699438,0.915134301585752,0.297684123359639,0.651582957961606,125.401233130995,0.947383300226746,0.433864596200468
1366,554.561205661381,0.0693348277952091,0.135889061194121,0.99293812756465,0.33502885493193,0.612866590246106,125.044633283762,0.959932138376698,0.389587206556215
1367,595.943493699902,0.06470637864501,0.218602170129849,0.997795993245678,0.663315001888039,0.646727146495928,118.163443696866,0.957693927853509,0.371533352722451
1368,586.771309766447,0.0489100328282473,0.209607910922799,0.965668476515481,0.433667761967823,0.596454407335567,89.4093956171328,0.94978299596868,0.45530158919637
1375,532.831847316402,0.059904116648953,0.2229188655665,0.982550363631793,0.356877286808674,0.719137671693357,92.2852220792961,0.961767929766358,0.433648615479482
1381,475.722350896365,0.0656976468724381,0.0971398198191316,0.975868781572671,0.438068152915302,0.448930525128607,94.8347444176258,0.967318334595625,0.457885365134428
1382,451.876488436354,0.0582449230549745,0.128436273697179,0.966130263384585,0.522686764169826,0.546250817448679,70.0806841830735,0.962820022125237,0.492204785392598
1384,576.281289562348,0.0623342956647903,0.247572530790635,0.984543740216715,0.514857879855857,0.511465927667544,108.00725085767,0.967468287936567,0.410655081396788
1385,598.20426446231,0.0584240504067707,0.265860357155675,0.967878859181125,0.498858508715915,0.524778029778129,121.341163799139,0.974527693934417,0.437627830499623
1386,599.986257096868,0.0620173545013101,0.113064823119732,0.974438769264416,0.280614505261694,0.509837034603614,111.157412911317,0.958424018175658,0.445882318162128
1388,577.159009065704,0.0537580040936528,0.193867372743568,0.953287165348475,0.551226651687681,0.523096295234526,109.790070862946,0.951722680055456,0.439317823397183
1389,598.840232060196,0.0454777569705787,0.246647983943571,0.936299800476864,0.291395116981368,0.445361256710647,94.0845438523218,0.938238744711068,0.451419575541451
1395,594.344885614476,0.0686485752610973,0.21870865373195,0.996206992085476,0.555480273565512,0.47293143081043,123.286880957284,0.976151679339484,0.407999955582212
1400,590.249674343291,0.0596735388637038,0.204830848416855,0.930573652428247,0.354623032255305,0.547473159951726,108.01462510189,0.981097460484366,0.461260839195454
1404,462.090977831113,0.0587353684951849,0.285487208578452,0.982723320741423,0.629988554697884,0.533712656425523,77.6128337155087,0.977221218293839,0.477490019650704
1407,473.368874733257,0.0665466338007742,0.201318514440079,0.961239224840153,0.546830090499668,0.549306253299176,106.102443154953,0.979997224040267,0.425037379047739
1411,517.837022942704,0.04994977531139,0.198902491802899,0.936739407784928,0.553829248970458,0.634614696237201,103.253446862017,0.963122771644676,0.488702181500463
1415,418.022277221188,0.0683622333276336,0.0956143997221801,0.976278178665384,0.678879084631139,0.465388802465221,70.4059465149182,0.982152856063338,0.446180484515461
1420,429.044132601244,0.0688128075265621,0.154400065750725,0.999089221509198,0.504818521848492,0.515040219483809,79.0082813079567,0.964879580872757,0.417793978546585
1428,472.697152833483,0.0690739651743625,0.192398203806874,0.987852947707842,0.489598424403161,0.241391821646206,108.984914985072,0.963924898263089,0.415614451181043
1429,474.71753061118,0.0589128882451655,0.127832564414695,0.93185249812632,0.40759602527081,0.370631445582958,110.728131505659,0.967904587712351,0.486714303410421
1432,570.27733199976,0.0698564640377646,0.159751416374553,0.996003711207059,0.49317594791832,0.419870525750851,137.75970290025,0.954253145778403,0.385390704949484
1435,552.231863396335,0.0673227797818258,0.192276157275747,0.995180644169521,0.356540369635926,0.754667363850562,116.69375282233,0.973387406192309,0.434838174076687
1436,543.139366892729,0.0638924725351283,0.275611049835364,0.967751061743549,0.440912533574961,0.657917462925862,129.821120162588,0.973869531237865,0.395183817967975
1439,560.537755688458,0.0614914530087827,0.232869761871083,0.966693119449951,0.474549996693948,0.562663854261351,121.027516770313,0.962629804076751,0.42199174222705
1441,529.838251670239,0.062436937019166,0.240328978891045,0.994071462347043,0.636423353385782,0.570064912454675,97.2004502920575,0.963128049642858,0.397818611932686
1442,571.487365584154,0.057329850778545,0.200368542752538,0.97900272905304,0.502695928006744,0.754260197210594,113.139263546316,0.956321035238342,0.446764558034826
1447,543.189705799749,0.0671203799723832,0.121746303246226,0.982129838779086,0.319280304119304,0.78728605125672,125.060526183269,0.965259709012739,0.44684882064735
1450,538.840142134096,0.052475211868073,0.301131873095712,0.986956197733113,0.445928899163825,0.689938313460965,96.204462701697,0.956552501165416,0.465589787498663
1452,588.425918877324,0.0586395822212969,0.126936557701562,0.95890686368054,0.364721050058753,0.714061291921652,115.272253773078,0.958124143974322,0.442281631132117
1454,593.068249381745,0.0618989564001851,0.194340390807466,0.987863475869223,0.454795260049694,0.564734186925748,115.668597422916,0.963821616221426,0.428970694671999
1456,461.425868118257,0.0675168768915413,0.154578403273122,0.971571416557207,0.409112309501599,0.410314610168848,103.368253664536,0.978335425696049,0.471674714205025
1457,549.276506818807,0.0559844251146034,0.251817174066833,0.973290684991851,0.4522147498426,0.752777713061651,104.110932552038,0.965605747741664,0.46095900912598
1458,407.528660794695,0.0793285711100208,0.10547433266494,0.999434728576974,0.407726642455374,0.260319493630588,83.8967679904348,0.991768846662927,0.475778931324642
1464,489.178290037361,0.0623646613460001,0.0886239860655003,0.954532327007306,0.394834560482327,0.524957641584282,81.3681981077329,0.965047389899051,0.4543817603557
1466,392.876742247823,0.071793937156745,0.102792724622357,0.999730899847062,0.509760319623342,0.512473280033973,80.9074247926685,0.975240534501943,0.46247436427815
1471,516.265342350605,0.049547146086646,0.185300064956366,0.968743542108219,0.583814899776085,0.694088625034509,67.026991335592,0.945727744576045,0.481807420278876
1472,430.872308702975,0.0698058258435002,0.0416808643162419,0.960227491866423,0.62240942365851,0.542378478218773,97.9096626639423,0.98154313538436,0.461766246360462
1476,472.581883669174,0.062240537744881,0.0381169521018049,0.963761427213277,0.378145043657959,0.677817373874578,69.6795122969686,0.958389472107607,0.464360951143315
1477,483.150370153305,0.0536457818974503,0.192364273063115,0.972990287614184,0.431082822637954,0.595008586530009,72.2177419378806,0.955712406142751,0.494389359885002
1480,445.490996973794,0.0726225596348394,0.204971967577355,0.992316275492171,0.479541196506088,0.522859845495528,103.125864701474,0.985666032348608,0.454725952912068
1481,480.514176260678,0.0725836245493415,0.0706341450768556,0.985710393184483,0.421273173230331,0.333820693139932,97.1374449045693,0.976988058461121,0.443218379206043
1482,544.871655061029,0.0667567267121092,0.165318286865779,0.964623395063744,0.2297995929963,0.767009037483696,127.082777602779,0.981223478745534,0.476092008807494
1483,404.616745173329,0.0667342095331042,0.281696863252357,0.979621713198405,0.677517801477508,0.697814097376572,96.128843124815,0.984930113313087,0.438438776717964
1487,483.287588845243,0.0611866962806334,0.228300782457014,0.959262579724654,0.479905134414531,0.562492141249688,110.284444075795,0.956486487300263,0.408467456650324
1491,458.644463588961,0.0634151833290352,0.203477784169355,0.970616205640887,0.609686611796917,0.76560151350462,98.2128055146544,0.982031963213674,0.461584553218804
1503,428.734449993314,0.0483855785212788,0.293742380428686,0.929098551864886,0.614917525060631,0.731080667374254,86.8777420485226,0.964773528859716,0.485250459436216
1507,422.090235705516,0.0535472992104927,0.162216427009609,0.933630077481514,0.389541819403206,0.314711892122565,67.626932450382,0.961131941217561,0.491620850419307
1518,484.792297906512,0.0583843056478348,0.209308906617295,0.968967200238117,0.514588638463361,0.628098896144503,86.9276977687116,0.974511061465996,0.478795095797095
1522,462.027420857141,0.0617508352263577,0.196768036192111,0.968831344723282,0.542335842033039,0.263921916069436,83.7949430504651,0.97681988733483,0.451259299532264
1529,445.664780238004,0.0583611414219476,0.0797571189230722,0.931435941540772,0.447696303461373,0.245360096185984,81.4501730075207,0.965928951125644,0.484370217412022
1535,500.287424101594,0.0532963895594291,0.354327541685083,0.983215795412727,0.562902062146082,0.313981562117276,94.0280674727547,0.964079311847651,0.491322487958828
1536,540.277256728327,0.0548478382572793,0.401819910337231,0.99658266595091,0.53294353277588,0.450275467059965,94.0747493833948,0.983471469728731,0.497440354016005
1547,485.289709835631,0.0517256421513725,0.340323125769926,0.975725692038501,0.649118162820108,0.626656027050948,82.3365889876309,0.966610104760702,0.489337256596273
1549,429.19683101564,0.0659042773905784,0.179819630352443,0.964166043916083,0.514065696721105,0.771890786367045,74.9255026675673,0.978598487879218,0.421126123954852
1553,512.64388205148,0.0553644778491667,0.214027080881043,0.969688305908733,0.42634540917712,0.750074526039109,76.8097192465514,0.9581098715289,0.427861572694466
1554,447.322806026182,0.0464772957617396,0.213856589885802,0.919084827198122,0.534827454701662,0.632791779172148,62.4238110889306,0.937899946610242,0.420464895383127
1556,405.727608766044,0.0534852341288583,0.248427578887172,0.964830613977442,0.662550272941195,0.779424337117221,59.9657923566806,0.972146845473652,0.491027553258691
1559,534.980696433647,0.0752954569639654,0.0656634432347895,0.965256505328549,0.410830524591409,0.328754076341281,146.563989974286,0.967232664014108,0.386451323249094
1560,505.580936396577,0.0692157187397227,0.0475747510793379,0.959716703783788,0.420299624727481,0.209418269190458,116.142079137414,0.964345743756659,0.424754239218557
1564,464.620072641623,0.0604379562380949,0.161596041335664,0.92956194086034,0.55033533660581,0.229457773376412,110.969234569209,0.976339001501402,0.485852580524052
1568,476.400405219876,0.0690247185384189,0.117640060920512,0.96748960915954,0.390281027923973,0.501444112588052,103.770504779402,0.982011908676487,0.48141338936811
1574,427.905777213671,0.0618216663013875,0.23710093797485,0.981387051351826,0.56329469082453,0.566318560945235,79.485693978002,0.978564413122412,0.49366934022988
1575,448.419852754318,0.0610259186664306,0.201994726498765,0.957680933548603,0.477515607754368,0.334341709772211,85.1996028416141,0.979567186415451,0.480414599890599
1578,487.138775986164,0.0731943047870224,0.0278008938151924,0.951577698448745,0.416494471674737,0.382099687791997,125.989342978209,0.974758551621234,0.434922862538612
1590,538.562139617782,0.0517522456992441,0.293334409420372,0.990523737641077,0.337234809512714,0.322169268288287,88.1203426983315,0.942989677064729,0.494631648665095
1593,545.00034566546,0.0509347368054966,0.0991742863935146,0.949713165553772,0.241033534405768,0.441706586970473,93.6377453444454,0.91465755995918,0.432926183403572
1601,599.758717493272,0.0598928284948578,0.226739703087702,0.96000018225917,0.385105773230953,0.662822143321876,138.959699368292,0.963830599799476,0.443454988905192
1607,570.017054896981,0.0568806373925424,0.355190973730649,0.9157006704596,0.462124288445548,0.333090267527646,168.086465044645,0.981262472106785,0.475343588211919
1608,578.307287219993,0.0736068987706347,0.209717327967248,0.998597570104087,0.487960178179891,0.593016746440039,151.726072100962,0.976715757762643,0.391148330317587
1615,596.105933596419,0.0460111038025136,0.19672850801381,0.930364900595224,0.469594768020772,0.581129404410081,82.6942292237738,0.946815873444503,0.43794307943253
1616,475.807483007553,0.0563509492638953,0.020663412895979,0.944485592646707,0.578636160706967,0.337691271058787,59.6429940637132,0.932090691687054,0.397364605702897
1617,555.628991700554,0.059445340213298,0.100009072161202,0.947240031014552,0.385540150343826,0.45899590276155,86.9446118357306,0.973898564188403,0.465287061448913
1619,511.310514223987,0.0482175575034629,0.0544124695662248,0.911411669549365,0.583250514513541,0.354685670182311,69.1210385648815,0.938869758965345,0.426572822097368
1623,518.494701535903,0.0455956135993514,0.198410646979242,0.926555024044466,0.466468087765501,0.370546147569992,62.2812516338355,0.960073109639266,0.494970381122054
1624,529.101000017987,0.0518714417353374,0.0616539289630917,0.921635154887677,0.641286607560109,0.514665704710864,85.7092810415882,0.946388771819447,0.433200248563959
1625,547.928130177769,0.0488185699822313,0.228198208847768,0.962750429303781,0.337259077364506,0.48956392969623,76.9373801161738,0.946030645884735,0.477300496558746
1629,550.020656851345,0.0594660184665637,0.0420777254903053,0.960963918520899,0.324741734057361,0.61941655742294,93.2193683105998,0.929197124779509,0.39658833069387
1632,595.819793441513,0.0449455737526434,0.102720095598939,0.888749193770495,0.414110994884814,0.444362849400858,84.9627579181114,0.94697882825126,0.435773782917892
1635,483.113354095801,0.0563962021645319,0.151688765754512,0.944618492714952,0.537694121949945,0.414420977929676,63.0001522738332,0.962292656252286,0.451949836743312
1641,453.267278724165,0.0764344175284501,0.044240267283062,0.98823257378649,0.368696500246756,0.710409745823761,96.2698469941093,0.960593141716421,0.375030905447464
1646,424.159936871145,0.0758191654811594,0.140040365025367,0.982360524631545,0.382395108540148,0.625816448956775,118.494869467494,0.968283045698661,0.401689783392601
1649,473.162777761811,0.0659980978693914,0.0488512549926518,0.963561834304618,0.365111962722274,0.562753921811354,106.07715366829,0.949176828008108,0.410573532075928
1650,481.549098535821,0.0760649652033061,0.139468489021088,0.977030232740677,0.235127998922014,0.679196334905192,131.540136588402,0.956835415277134,0.348781361023216
1654,475.50074702206,0.0746849518636097,0.0588195634052681,0.982807048699547,0.295048051322151,0.580302399299714,115.074379823729,0.949134410835516,0.368047596493548
1656,475.092572183657,0.0600496985510304,0.0688048969476638,0.947249154538764,0.329686807192099,0.575594166685817,92.3292526746161,0.93741597868079,0.396830853362111
1657,469.873123954608,0.0655861298442361,0.0342690065213649,0.969641810809699,0.295619717825998,0.765942303783879,86.4459818804834,0.928722476081449,0.377120406332442
1665,432.094224219017,0.06908475458257,0.111076696972567,0.95571773743579,0.347192223779462,0.390358258309577,124.797835941014,0.970403095009919,0.426634612044487
1667,390.442276109365,0.064731084877162,0.0219399072343006,0.923440220316029,0.393975197838589,0.439346181180524,99.2906261523275,0.968970871258369,0.411439600450201
1669,396.091079866356,0.0589240851568889,0.113923792744215,0.940609938592267,0.375653289671263,0.523351042130761,80.173410537207,0.964153550268428,0.440985700472219
1675,480.427245826077,0.0687588876964859,0.0515986356956154,0.933959074511217,0.27434005926332,0.406825626726752,126.497910194463,0.979154431702118,0.443814597164234
1676,475.296538751834,0.0605554087542994,0.158274688809683,0.941944297428601,0.309383139614358,0.445207620183162,103.539898985909,0.961455367036551,0.394769404883685
1685,405.544381846172,0.0571020818693197,0.140795603276334,0.901153206270422,0.408361993817036,0.303438252147331,98.9860854054375,0.972689833324679,0.440074124233129
1687,427.965763791336,0.0530697667977577,0.212427680009937,0.941229586300804,0.439807458873578,0.344127545103807,82.1138749953151,0.958792009906768,0.487832923169028
1689,433.417196538355,0.0527334303057893,0.229508056529707,0.966200600189691,0.461645904509313,0.357705046955795,56.2752935837422,0.957230666440889,0.492047792607929
1696,378.684833139216,0.0612238245867449,0.153800499680371,0.954721043499888,0.609777729433521,0.40153578790108,66.4644005200432,0.968664702699914,0.463537862937209
1698,403.890359761016,0.0464808443690331,0.363869046527509,0.943440590073436,0.609636558315992,0.635800815493938,66.9111693483007,0.962591900675763,0.474230291580685
1699,455.175343235484,0.0440669327039532,0.390655415288594,0.960130645346579,0.642892219246352,0.456370435009679,65.903238818124,0.953206093903375,0.477032987218561
1701,404.809411443651,0.0584915838696205,0.1592867113199,0.955420665014456,0.447186442898286,0.475332568899714,70.3292189740744,0.951653373811685,0.427565788256474
1703,393.131498312266,0.0532534293667629,0.366842975310489,0.963764073920529,0.595236419418912,0.520694893094661,75.4487021064189,0.962727039705048,0.455486260761802
1708,420.697816371936,0.0566194789867304,0.260853986061217,0.96703917574415,0.514344321875495,0.465784514438004,62.0892167540995,0.963890315317615,0.433560007753637
1710,374.255386118302,0.0485900810079245,0.295722333195874,0.938338594012646,0.635291226571588,0.501942283588336,73.4963285542154,0.947751200636901,0.43170202104735
1712,593.85620264624,0.0651195954828359,0.320592468935161,0.977418896489113,0.446436085134509,0.45329594286753,149.773942894403,0.982009916069726,0.451483925535353
1713,536.346484859963,0.0533125971922968,0.0970664474409681,0.933956441507301,0.504666709388166,0.451973543563457,71.7684245209002,0.948607800913594,0.43113661340128
1715,418.852453678155,0.0613088455966985,0.114114363680369,0.927244335178058,0.381970688637472,0.421225276024314,102.494466385476,0.969232717617868,0.423951522245142
1716,423.527588186311,0.0491238464936119,0.299910538470943,0.951709832324966,0.577496462808927,0.40645160070584,67.9738056458428,0.952600342164869,0.455559038209036
1717,475.932968298125,0.0599030583360592,0.190056373005934,0.97054343696499,0.378868848295528,0.6819421697551,82.0348938095465,0.966525994614286,0.471336755304601
1721,488.59546487643,0.0748000680107141,0.0291179415112323,0.998280451501506,0.407033468136153,0.782157216695377,99.2069190534121,0.961674724429927,0.417310555067374
1726,475.637517513724,0.0561019876129459,0.201230589876078,0.993926496786462,0.557017513851801,0.63802660836653,62.7214376323359,0.955497956324985,0.476747999385539
1727,466.276639322455,0.0659969642543513,0.144838567582876,0.991465067777781,0.444820777482778,0.390377774489417,81.8259278059589,0.976569538488517,0.495327924417633
1729,491.127828637465,0.063244785681705,0.179090266726996,0.98558081793128,0.440242467462429,0.571245674134664,73.7841662487579,0.974362768870727,0.452386916932141
