instance,Number of initial infected,Rate of exposure to infected,Seasonality multiplier,Shielding by susceptible,Proportion of isolated in homes,Proportion of isolated in nursing homes,Time of initial seeding of infection,Probability of stay at home,Probability of protective behaviors
50,443.6,0.0493527696793003,0.211,0.967,0.471,0.549,80.96875,0.939672,0.480456790123457
51,443.6,0.0526384839650146,0.211,0.967,0.471,0.549,117.96875,0.948072,0.433234567901235
52,443.6,0.0559241982507289,0.211,0.967,0.471,0.549,71.71875,0.956472,0.461567901234568
53,443.6,0.0592099125364432,0.211,0.967,0.471,0.549,108.71875,0.964872,0.489901234567901
54,443.6,0.0624956268221574,0.211,0.967,0.471,0.549,90.21875,0.973272,0.409098765432099
55,443.6,0.0657813411078717,0.211,0.967,0.471,0.549,127.21875,0.941352,0.437432098765432
56,443.6,0.046536443148688,0.211,0.967,0.471,0.549,67.09375,0.949752,0.465765432098765
57,443.6,0.0498221574344023,0.211,0.967,0.471,0.549,104.09375,0.958152,0.418543209876543
58,443.6,0.0531078717201166,0.211,0.967,0.471,0.549,85.59375,0.966552,0.446876543209877
59,443.6,0.0563935860058309,0.211,0.967,0.471,0.549,122.59375,0.974952,0.47520987654321
60,443.6,0.0596793002915452,0.211,0.967,0.471,0.549,76.34375,0.943032,0.427987654320988
61,443.6,0.0629650145772595,0.211,0.967,0.471,0.549,113.34375,0.951432,0.456320987654321
62,443.6,0.0662507288629738,0.211,0.967,0.471,0.549,94.84375,0.959832,0.484654320987654
63,443.6,0.0470058309037901,0.211,0.967,0.471,0.549,131.84375,0.968232,0.412246913580247
64,443.6,0.0502915451895044,0.211,0.967,0.471,0.549,59.578125,0.976632,0.44058024691358
65,443.6,0.0535772594752187,0.211,0.967,0.471,0.549,96.578125,0.944712,0.468913580246914
66,443.6,0.056862973760933,0.211,0.967,0.471,0.549,78.078125,0.953112,0.421691358024691
67,443.6,0.0601486880466472,0.211,0.967,0.471,0.549,115.078125,0.961512,0.450024691358025
68,443.6,0.0634344023323615,0.211,0.967,0.471,0.549,68.828125,0.969912,0.478358024691358
69,443.6,0.0667201166180758,0.211,0.967,0.471,0.549,105.828125,0.978312,0.431135802469136
70,443.6,0.0474752186588921,0.211,0.967,0.471,0.549,87.328125,0.946392,0.459469135802469
71,443.6,0.0507609329446064,0.211,0.967,0.471,0.549,124.328125,0.954792,0.487802469135802
72,443.6,0.0540466472303207,0.211,0.967,0.471,0.549,64.203125,0.963192,0.415395061728395
73,443.6,0.057332361516035,0.211,0.967,0.471,0.549,101.203125,0.971592,0.443728395061728
74,443.6,0.0606180758017493,0.211,0.967,0.471,0.549,82.703125,0.979992,0.472061728395062
75,443.6,0.0639037900874636,0.211,0.967,0.471,0.549,119.703125,0.940008,0.42483950617284
76,443.6,0.0671895043731778,0.211,0.967,0.471,0.549,73.453125,0.948408,0.453172839506173
77,443.6,0.0479446064139942,0.211,0.967,0.471,0.549,110.453125,0.956808,0.481506172839506
78,443.6,0.0512303206997085,0.211,0.967,0.471,0.549,91.953125,0.965208,0.434283950617284
79,443.6,0.0545160349854227,0.211,0.967,0.471,0.549,128.953125,0.973608,0.462617283950617
80,443.6,0.057801749271137,0.211,0.967,0.471,0.549,61.890625,0.941688,0.490950617283951
81,443.6,0.0610874635568513,0.211,0.967,0.471,0.549,98.890625,0.950088,0.407349794238683
82,443.6,0.0643731778425656,0.211,0.967,0.471,0.549,80.390625,0.958488,0.435683127572016
83,443.6,0.0676588921282799,0.211,0.967,0.471,0.549,117.390625,0.966888,0.46401646090535
84,443.6,0.0484139941690962,0.211,0.967,0.471,0.549,71.140625,0.975288,0.416794238683128
85,443.6,0.0516997084548105,0.211,0.967,0.471,0.549,108.140625,0.943368,0.445127572016461
86,443.6,0.0549854227405248,0.211,0.967,0.471,0.549,89.640625,0.951768,0.473460905349794
87,443.6,0.0582711370262391,0.211,0.967,0.471,0.549,126.640625,0.960168,0.426238683127572
88,443.6,0.0615568513119534,0.211,0.967,0.471,0.549,66.515625,0.968568,0.454572016460905
89,443.6,0.0648425655976676,0.211,0.967,0.471,0.549,103.515625,0.976968,0.482905349794239
90,443.6,0.0681282798833819,0.211,0.967,0.471,0.549,85.015625,0.945048,0.410497942386831
91,443.6,0.0488833819241982,0.211,0.967,0.471,0.549,122.015625,0.953448,0.438831275720165
92,443.6,0.0521690962099125,0.211,0.967,0.471,0.549,75.765625,0.961848,0.467164609053498
93,443.6,0.0554548104956268,0.211,0.967,0.471,0.549,112.765625,0.970248,0.419942386831276
94,443.6,0.0587405247813411,0.211,0.967,0.471,0.549,94.265625,0.978648,0.448275720164609
95,443.6,0.0620262390670554,0.211,0.967,0.471,0.549,131.265625,0.946728,0.476609053497942
96,443.6,0.0653119533527697,0.211,0.967,0.471,0.549,60.734375,0.955128,0.42938683127572
97,443.6,0.068597667638484,0.211,0.967,0.471,0.549,97.734375,0.963528,0.457720164609053
98,443.6,0.046134110787172,0.211,0.967,0.471,0.549,79.234375,0.971928,0.486053497942387
99,443.6,0.0494198250728863,0.211,0.967,0.471,0.549,116.234375,0.980328,0.413646090534979
100,443.6,0.0527055393586006,0.211,0.967,0.471,0.549,69.984375,0.940344,0.441979423868313
101,443.6,0.0559912536443149,0.211,0.967,0.471,0.549,106.984375,0.948744,0.470312757201646
102,443.6,0.0592769679300292,0.211,0.967,0.471,0.549,88.484375,0.957144,0.423090534979424
103,443.6,0.0625626822157434,0.211,0.967,0.471,0.549,125.484375,0.965544,0.451423868312757
104,443.6,0.0658483965014577,0.211,0.967,0.471,0.549,65.359375,0.973944,0.47975720164609
105,443.6,0.046603498542274,0.211,0.967,0.471,0.549,102.359375,0.942024,0.432534979423868
106,443.6,0.0498892128279883,0.211,0.967,0.471,0.549,83.859375,0.950424,0.460868312757202
107,443.6,0.0531749271137026,0.211,0.967,0.471,0.549,120.859375,0.958824,0.489201646090535
108,443.6,0.0564606413994169,0.211,0.967,0.471,0.549,74.609375,0.967224,0.408399176954732
109,443.6,0.0597463556851312,0.211,0.967,0.471,0.549,111.609375,0.975624,0.436732510288066
110,443.6,0.0630320699708455,0.211,0.967,0.471,0.549,93.109375,0.943704,0.465065843621399
111,443.6,0.0663177842565598,0.211,0.967,0.471,0.549,130.109375,0.952104,0.417843621399177
112,443.6,0.0470728862973761,0.211,0.967,0.471,0.549,63.046875,0.960504,0.44617695473251
113,443.6,0.0503586005830904,0.211,0.967,0.471,0.549,100.046875,0.968904,0.474510288065844
114,443.6,0.0536443148688047,0.211,0.967,0.471,0.549,81.546875,0.977304,0.427288065843621
115,443.6,0.056930029154519,0.211,0.967,0.471,0.549,118.546875,0.945384,0.455621399176955
116,443.6,0.0602157434402332,0.211,0.967,0.471,0.549,72.296875,0.953784,0.483954732510288
117,443.6,0.0635014577259475,0.211,0.967,0.471,0.549,109.296875,0.962184,0.411547325102881
118,443.6,0.0667871720116618,0.211,0.967,0.471,0.549,90.796875,0.970584,0.439880658436214
119,443.6,0.0475422740524781,0.211,0.967,0.471,0.549,127.796875,0.978984,0.468213991769547
120,443.6,0.0508279883381924,0.211,0.967,0.471,0.549,67.671875,0.947064,0.420991769547325
121,443.6,0.0541137026239067,0.211,0.967,0.471,0.549,104.671875,0.955464,0.449325102880658
122,443.6,0.057399416909621,0.211,0.967,0.471,0.549,86.171875,0.963864,0.477658436213992
123,443.6,0.0606851311953353,0.211,0.967,0.471,0.549,123.171875,0.972264,0.43043621399177
124,443.6,0.0639708454810496,0.211,0.967,0.471,0.549,76.921875,0.980664,0.458769547325103
125,443.6,0.0672565597667639,0.211,0.967,0.471,0.549,113.921875,0.9390672,0.487102880658436
126,443.6,0.0480116618075802,0.211,0.967,0.471,0.549,95.421875,0.9474672,0.414695473251029
127,443.6,0.0512973760932945,0.211,0.967,0.471,0.549,132.421875,0.9558672,0.443028806584362
128,443.6,0.0545830903790087,0.211,0.967,0.471,0.549,59.2890625,0.9642672,0.471362139917695
129,443.6,0.057868804664723,0.211,0.967,0.471,0.549,96.2890625,0.9726672,0.424139917695473
130,443.6,0.0611545189504373,0.211,0.967,0.471,0.549,77.7890625,0.9407472,0.452473251028807
131,443.6,0.0644402332361516,0.211,0.967,0.471,0.549,114.7890625,0.9491472,0.48080658436214
132,443.6,0.0677259475218659,0.211,0.967,0.471,0.549,68.5390625,0.9575472,0.433584362139918
133,443.6,0.0484810495626822,0.211,0.967,0.471,0.549,105.5390625,0.9659472,0.461917695473251
134,443.6,0.0517667638483965,0.211,0.967,0.471,0.549,87.0390625,0.9743472,0.490251028806584
135,443.6,0.0550524781341108,0.211,0.967,0.471,0.549,124.0390625,0.9424272,0.409448559670782
136,443.6,0.0583381924198251,0.211,0.967,0.471,0.549,63.9140625,0.9508272,0.437781893004115
137,443.6,0.0616239067055394,0.211,0.967,0.471,0.549,100.9140625,0.9592272,0.466115226337449
138,443.6,0.0649096209912536,0.211,0.967,0.471,0.549,82.4140625,0.9676272,0.418893004115226
139,443.6,0.0681953352769679,0.211,0.967,0.471,0.549,119.4140625,0.9760272,0.44722633744856
140,443.6,0.0489504373177843,0.211,0.967,0.471,0.549,73.1640625,0.9441072,0.475559670781893
141,443.6,0.0522361516034985,0.211,0.967,0.471,0.549,110.1640625,0.9525072,0.428337448559671
142,443.6,0.0555218658892128,0.211,0.967,0.471,0.549,91.6640625,0.9609072,0.456670781893004
143,443.6,0.0588075801749271,0.211,0.967,0.471,0.549,128.6640625,0.9693072,0.485004115226337
144,443.6,0.0620932944606414,0.211,0.967,0.471,0.549,61.6015625,0.9777072,0.41259670781893
145,443.6,0.0653790087463557,0.211,0.967,0.471,0.549,98.6015625,0.9457872,0.440930041152263
146,443.6,0.06866472303207,0.211,0.967,0.471,0.549,80.1015625,0.9541872,0.469263374485597
147,443.6,0.046201166180758,0.211,0.967,0.471,0.549,117.1015625,0.9625872,0.422041152263374
148,443.6,0.0494868804664723,0.211,0.967,0.471,0.549,70.8515625,0.9709872,0.450374485596708
149,443.6,0.0527725947521866,0.211,0.967,0.471,0.549,107.8515625,0.9793872,0.478707818930041
150,443.6,0.0560583090379009,0.211,0.967,0.471,0.549,89.3515625,0.9394032,0.431485596707819
151,443.6,0.0593440233236152,0.211,0.967,0.471,0.549,126.3515625,0.9478032,0.459818930041152
152,443.6,0.0626297376093294,0.211,0.967,0.471,0.549,66.2265625,0.9562032,0.488152263374486
153,443.6,0.0659154518950437,0.211,0.967,0.471,0.549,103.2265625,0.9646032,0.415744855967078
154,443.6,0.0466705539358601,0.211,0.967,0.471,0.549,84.7265625,0.9730032,0.444078189300411
155,443.6,0.0499562682215743,0.211,0.967,0.471,0.549,121.7265625,0.9410832,0.472411522633745
156,443.6,0.0532419825072886,0.211,0.967,0.471,0.549,75.4765625,0.9494832,0.425189300411523
157,443.6,0.0565276967930029,0.211,0.967,0.471,0.549,112.4765625,0.9578832,0.453522633744856
158,443.6,0.0598134110787172,0.211,0.967,0.471,0.549,93.9765625,0.9662832,0.481855967078189
159,443.6,0.0630991253644315,0.211,0.967,0.471,0.549,130.9765625,0.9746832,0.434633744855967
160,443.6,0.0663848396501458,0.211,0.967,0.471,0.549,60.4453125,0.9427632,0.4629670781893
161,443.6,0.0471399416909621,0.211,0.967,0.471,0.549,97.4453125,0.9511632,0.491300411522634
162,443.6,0.0504256559766764,0.211,0.967,0.471,0.549,78.9453125,0.9595632,0.407699588477366
163,443.6,0.0537113702623907,0.211,0.967,0.471,0.549,115.9453125,0.9679632,0.4360329218107
164,443.6,0.056997084548105,0.211,0.967,0.471,0.549,69.6953125,0.9763632,0.464366255144033
165,443.6,0.0602827988338192,0.211,0.967,0.471,0.549,106.6953125,0.9444432,0.417144032921811
166,443.6,0.0635685131195335,0.211,0.967,0.471,0.549,88.1953125,0.9528432,0.445477366255144
167,443.6,0.0668542274052478,0.211,0.967,0.471,0.549,125.1953125,0.9612432,0.473810699588477
168,443.6,0.0476093294460641,0.211,0.967,0.471,0.549,65.0703125,0.9696432,0.426588477366255
169,443.6,0.0508950437317784,0.211,0.967,0.471,0.549,102.0703125,0.9780432,0.454921810699588
170,443.6,0.0541807580174927,0.211,0.967,0.471,0.549,83.5703125,0.9461232,0.483255144032922
171,443.6,0.057466472303207,0.211,0.967,0.471,0.549,120.5703125,0.9545232,0.410847736625514
172,443.6,0.0607521865889213,0.211,0.967,0.471,0.549,74.3203125,0.9629232,0.439181069958848
173,443.6,0.0640379008746356,0.211,0.967,0.471,0.549,111.3203125,0.9713232,0.467514403292181
174,443.6,0.0673236151603499,0.211,0.967,0.471,0.549,92.8203125,0.9797232,0.420292181069959
175,443.6,0.0480787172011662,0.211,0.967,0.471,0.549,129.8203125,0.9397392,0.448625514403292
176,443.6,0.0513644314868805,0.211,0.967,0.471,0.549,62.7578125,0.9481392,0.476958847736626
177,443.6,0.0546501457725947,0.211,0.967,0.471,0.549,99.7578125,0.9565392,0.429736625514403
178,443.6,0.057935860058309,0.211,0.967,0.471,0.549,81.2578125,0.9649392,0.458069958847737
179,443.6,0.0612215743440233,0.211,0.967,0.471,0.549,118.2578125,0.9733392,0.48640329218107
180,443.6,0.0645072886297376,0.211,0.967,0.471,0.549,72.0078125,0.9414192,0.413995884773663
181,443.6,0.0677930029154519,0.211,0.967,0.471,0.549,109.0078125,0.9498192,0.442329218106996
182,443.6,0.0485481049562682,0.211,0.967,0.471,0.549,90.5078125,0.9582192,0.470662551440329
183,443.6,0.0518338192419825,0.211,0.967,0.471,0.549,127.5078125,0.9666192,0.423440329218107
184,443.6,0.0551195335276968,0.211,0.967,0.471,0.549,67.3828125,0.9750192,0.45177366255144
185,443.6,0.0584052478134111,0.211,0.967,0.471,0.549,104.3828125,0.9430992,0.480106995884774
186,443.6,0.0616909620991254,0.211,0.967,0.471,0.549,85.8828125,0.9514992,0.432884773662551
187,443.6,0.0649766763848396,0.211,0.967,0.471,0.549,122.8828125,0.9598992,0.461218106995885
188,443.6,0.0682623906705539,0.211,0.967,0.471,0.549,76.6328125,0.9682992,0.489551440329218
189,443.6,0.0490174927113703,0.211,0.967,0.471,0.549,113.6328125,0.9766992,0.408748971193416
190,443.6,0.0523032069970845,0.211,0.967,0.471,0.549,95.1328125,0.9447792,0.437082304526749
191,443.6,0.0555889212827988,0.211,0.967,0.471,0.549,132.1328125,0.9531792,0.465415637860082
192,443.6,0.0588746355685131,0.211,0.967,0.471,0.549,59.8671875,0.9615792,0.41819341563786
193,443.6,0.0621603498542274,0.211,0.967,0.471,0.549,96.8671875,0.9699792,0.446526748971193
194,443.6,0.0654460641399417,0.211,0.967,0.471,0.549,78.3671875,0.9783792,0.474860082304527
195,443.6,0.068731778425656,0.211,0.967,0.471,0.549,115.3671875,0.9464592,0.427637860082304
196,443.6,0.046268221574344,0.211,0.967,0.471,0.549,69.1171875,0.9548592,0.455971193415638
197,443.6,0.0495539358600583,0.211,0.967,0.471,0.549,106.1171875,0.9632592,0.484304526748971
198,443.6,0.0528396501457726,0.211,0.967,0.471,0.549,87.6171875,0.9716592,0.411897119341564
199,443.6,0.0561253644314869,0.211,0.967,0.471,0.549,124.6171875,0.9800592,0.440230452674897
200,443.6,0.0594110787172012,0.211,0.967,0.471,0.549,64.4921875,0.9400752,0.46856378600823
201,443.6,0.0626967930029154,0.211,0.967,0.471,0.549,101.4921875,0.9484752,0.421341563786008
202,443.6,0.0659825072886297,0.211,0.967,0.471,0.549,82.9921875,0.9568752,0.449674897119342
203,443.6,0.0467376093294461,0.211,0.967,0.471,0.549,119.9921875,0.9652752,0.478008230452675
204,443.6,0.0500233236151603,0.211,0.967,0.471,0.549,73.7421875,0.9736752,0.430786008230453
205,443.6,0.0533090379008746,0.211,0.967,0.471,0.549,110.7421875,0.9417552,0.459119341563786
206,443.6,0.0565947521865889,0.211,0.967,0.471,0.549,92.2421875,0.9501552,0.487452674897119
207,443.6,0.0598804664723032,0.211,0.967,0.471,0.549,129.2421875,0.9585552,0.415045267489712
208,443.6,0.0631661807580175,0.211,0.967,0.471,0.549,62.1796875,0.9669552,0.443378600823045
209,443.6,0.0664518950437318,0.211,0.967,0.471,0.549,99.1796875,0.9753552,0.471711934156379
210,443.6,0.0472069970845481,0.211,0.967,0.471,0.549,80.6796875,0.9434352,0.424489711934156
211,443.6,0.0504927113702624,0.211,0.967,0.471,0.549,117.6796875,0.9518352,0.45282304526749
212,443.6,0.0537784256559767,0.211,0.967,0.471,0.549,71.4296875,0.9602352,0.481156378600823
213,443.6,0.057064139941691,0.211,0.967,0.471,0.549,108.4296875,0.9686352,0.433934156378601
214,443.6,0.0603498542274052,0.211,0.967,0.471,0.549,89.9296875,0.9770352,0.462267489711934
215,443.6,0.0636355685131195,0.211,0.967,0.471,0.549,126.9296875,0.9451152,0.490600823045267
216,443.6,0.0669212827988338,0.211,0.967,0.471,0.549,66.8046875,0.9535152,0.409798353909465
217,443.6,0.0476763848396501,0.211,0.967,0.471,0.549,103.8046875,0.9619152,0.438131687242798
218,443.6,0.0509620991253644,0.211,0.967,0.471,0.549,85.3046875,0.9703152,0.466465020576132
219,443.6,0.0542478134110787,0.211,0.967,0.471,0.549,122.3046875,0.9787152,0.419242798353909
220,443.6,0.057533527696793,0.211,0.967,0.471,0.549,76.0546875,0.9467952,0.447576131687243
221,443.6,0.0608192419825073,0.211,0.967,0.471,0.549,113.0546875,0.9551952,0.475909465020576
222,443.6,0.0641049562682216,0.211,0.967,0.471,0.549,94.5546875,0.9635952,0.428687242798354
223,443.6,0.0673906705539359,0.211,0.967,0.471,0.549,131.5546875,0.9719952,0.457020576131687
224,443.6,0.0481457725947522,0.211,0.967,0.471,0.549,61.0234375,0.9803952,0.485353909465021
225,443.6,0.0514314868804665,0.211,0.967,0.471,0.549,98.0234375,0.9404112,0.412946502057613
226,443.6,0.0547172011661808,0.211,0.967,0.471,0.549,79.5234375,0.9488112,0.441279835390947
227,443.6,0.058002915451895,0.211,0.967,0.471,0.549,116.5234375,0.9572112,0.46961316872428
228,443.6,0.0612886297376093,0.211,0.967,0.471,0.549,70.2734375,0.9656112,0.422390946502058
229,443.6,0.0645743440233236,0.211,0.967,0.471,0.549,107.2734375,0.9740112,0.450724279835391
230,443.6,0.0678600583090379,0.211,0.967,0.471,0.549,88.7734375,0.9420912,0.479057613168724
231,443.6,0.0486151603498542,0.211,0.967,0.471,0.549,125.7734375,0.9504912,0.431835390946502
232,443.6,0.0519008746355685,0.211,0.967,0.471,0.549,65.6484375,0.9588912,0.460168724279835
233,443.6,0.0551865889212828,0.211,0.967,0.471,0.549,102.6484375,0.9672912,0.488502057613169
234,443.6,0.0584723032069971,0.211,0.967,0.471,0.549,84.1484375,0.9756912,0.416094650205761
235,443.6,0.0617580174927114,0.211,0.967,0.471,0.549,121.1484375,0.9437712,0.444427983539095
236,443.6,0.0650437317784257,0.211,0.967,0.471,0.549,74.8984375,0.9521712,0.472761316872428
237,443.6,0.06832944606414,0.211,0.967,0.471,0.549,111.8984375,0.9605712,0.425539094650206
238,443.6,0.0490845481049563,0.211,0.967,0.471,0.549,93.3984375,0.9689712,0.453872427983539
239,443.6,0.0523702623906706,0.211,0.967,0.471,0.549,130.3984375,0.9773712,0.482205761316872
240,443.6,0.0556559766763848,0.211,0.967,0.471,0.549,63.3359375,0.9454512,0.43498353909465
241,443.6,0.0589416909620991,0.211,0.967,0.471,0.549,100.3359375,0.9538512,0.463316872427984
242,443.6,0.0622274052478134,0.211,0.967,0.471,0.549,81.8359375,0.9622512,0.491650205761317
243,443.6,0.0655131195335277,0.211,0.967,0.471,0.549,118.8359375,0.9706512,0.407116598079561
244,443.6,0.068798833819242,0.211,0.967,0.471,0.549,72.5859375,0.9790512,0.435449931412894
245,443.6,0.04633527696793,0.211,0.967,0.471,0.549,109.5859375,0.9471312,0.463783264746228
246,443.6,0.0496209912536443,0.211,0.967,0.471,0.549,91.0859375,0.9555312,0.416561042524005
247,443.6,0.0529067055393586,0.211,0.967,0.471,0.549,128.0859375,0.9639312,0.444894375857339
248,443.6,0.0561924198250729,0.211,0.967,0.471,0.549,67.9609375,0.9723312,0.473227709190672
249,443.6,0.0594781341107872,0.211,0.967,0.471,0.549,104.9609375,0.9807312,0.42600548696845
250,443.6,0.0627638483965015,0.211,0.967,0.471,0.549,86.4609375,0.9391344,0.454338820301783
251,443.6,0.0660495626822157,0.211,0.967,0.471,0.549,123.4609375,0.9475344,0.482672153635117
252,443.6,0.0468046647230321,0.211,0.967,0.471,0.549,77.2109375,0.9559344,0.410264746227709
253,443.6,0.0500903790087464,0.211,0.967,0.471,0.549,114.2109375,0.9643344,0.438598079561043
254,443.6,0.0533760932944606,0.211,0.967,0.471,0.549,95.7109375,0.9727344,0.466931412894376
255,443.6,0.0566618075801749,0.211,0.967,0.471,0.549,132.7109375,0.9408144,0.419709190672154
256,443.6,0.0599475218658892,0.211,0.967,0.471,0.549,59.14453125,0.9492144,0.448042524005487
257,443.6,0.0632332361516035,0.211,0.967,0.471,0.549,96.14453125,0.9576144,0.47637585733882
258,443.6,0.0665189504373178,0.211,0.967,0.471,0.549,77.64453125,0.9660144,0.429153635116598
259,443.6,0.0472740524781341,0.211,0.967,0.471,0.549,114.64453125,0.9744144,0.457486968449931
260,443.6,0.0505597667638484,0.211,0.967,0.471,0.549,68.39453125,0.9424944,0.485820301783265
261,443.6,0.0538454810495627,0.211,0.967,0.471,0.549,105.39453125,0.9508944,0.413412894375857
262,443.6,0.057131195335277,0.211,0.967,0.471,0.549,86.89453125,0.9592944,0.441746227709191
263,443.6,0.0604169096209913,0.211,0.967,0.471,0.549,123.89453125,0.9676944,0.470079561042524
264,443.6,0.0637026239067055,0.211,0.967,0.471,0.549,63.76953125,0.9760944,0.422857338820302
265,443.6,0.0669883381924198,0.211,0.967,0.471,0.549,100.76953125,0.9441744,0.451190672153635
266,443.6,0.0477434402332362,0.211,0.967,0.471,0.549,82.26953125,0.9525744,0.479524005486968
267,443.6,0.0510291545189504,0.211,0.967,0.471,0.549,119.26953125,0.9609744,0.432301783264746
268,443.6,0.0543148688046647,0.211,0.967,0.471,0.549,73.01953125,0.9693744,0.46063511659808
269,443.6,0.057600583090379,0.211,0.967,0.471,0.549,110.01953125,0.9777744,0.488968449931413
270,443.6,0.0608862973760933,0.211,0.967,0.471,0.549,91.51953125,0.9458544,0.40816598079561
271,443.6,0.0641720116618076,0.211,0.967,0.471,0.549,128.51953125,0.9542544,0.436499314128944
272,443.6,0.0674577259475219,0.211,0.967,0.471,0.549,61.45703125,0.9626544,0.464832647462277
273,443.6,0.0482128279883382,0.211,0.967,0.471,0.549,98.45703125,0.9710544,0.417610425240055
274,443.6,0.0514985422740525,0.211,0.967,0.471,0.549,79.95703125,0.9794544,0.445943758573388
275,443.6,0.0547842565597668,0.211,0.967,0.471,0.549,116.95703125,0.9394704,0.474277091906722
276,443.6,0.058069970845481,0.211,0.967,0.471,0.549,70.70703125,0.9478704,0.427054869684499
