instance,Number of initial infected,Rate of exposure to infected,Seasonality multiplier,Shielding by susceptible,Proportion of isolated in homes,Proportion of isolated in nursing homes,Time of initial seeding of infection,Probability of stay at home,Probability of protective behaviors
1,443.6,0.0492857142857143,0.211,0.967,0.471,0.549,96.0,0.9474,0.435333333333333
2,443.6,0.0525714285714286,0.211,0.967,0.471,0.549,77.5,0.9558,0.463666666666667
3,443.6,0.0558571428571429,0.211,0.967,0.471,0.549,114.5,0.9642,0.416444444444444
4,443.6,0.0591428571428571,0.211,0.967,0.471,0.549,68.25,0.9726,0.444777777777778
5,443.6,0.0624285714285714,0.211,0.967,0.471,0.549,105.25,0.94068,0.473111111111111
6,443.6,0.0657142857142857,0.211,0.967,0.471,0.549,86.75,0.94908,0.425888888888889
7,443.6,0.046469387755102,0.211,0.967,0.471,0.549,123.75,0.95748,0.454222222222222
8,443.6,0.0497551020408163,0.211,0.967,0.471,0.549,63.625,0.96588,0.482555555555556
9,443.6,0.0530408163265306,0.211,0.967,0.471,0.549,100.625,0.97428,0.410148148148148
10,443.6,0.0563265306122449,0.211,0.967,0.471,0.549,82.125,0.94236,0.438481481481481
11,443.6,0.0596122448979592,0.211,0.967,0.471,0.549,119.125,0.95076,0.466814814814815
12,443.6,0.0628979591836735,0.211,0.967,0.471,0.549,72.875,0.95916,0.419592592592593
13,443.6,0.0661836734693878,0.211,0.967,0.471,0.549,109.875,0.96756,0.447925925925926
14,443.6,0.0469387755102041,0.211,0.967,0.471,0.549,91.375,0.97596,0.476259259259259
15,443.6,0.0502244897959184,0.211,0.967,0.471,0.549,128.375,0.94404,0.429037037037037
16,443.6,0.0535102040816327,0.211,0.967,0.471,0.549,61.3125,0.95244,0.45737037037037
17,443.6,0.0567959183673469,0.211,0.967,0.471,0.549,98.3125,0.96084,0.485703703703704
18,443.6,0.0600816326530612,0.211,0.967,0.471,0.549,79.8125,0.96924,0.413296296296296
19,443.6,0.0633673469387755,0.211,0.967,0.471,0.549,116.8125,0.97764,0.44162962962963
20,443.6,0.0666530612244898,0.211,0.967,0.471,0.549,70.5625,0.94572,0.469962962962963
21,443.6,0.0474081632653061,0.211,0.967,0.471,0.549,107.5625,0.95412,0.422740740740741
22,443.6,0.0506938775510204,0.211,0.967,0.471,0.549,89.0625,0.96252,0.451074074074074
23,443.6,0.0539795918367347,0.211,0.967,0.471,0.549,126.0625,0.97092,0.479407407407407
24,443.6,0.057265306122449,0.211,0.967,0.471,0.549,65.9375,0.97932,0.432185185185185
25,443.6,0.0605510204081633,0.211,0.967,0.471,0.549,102.9375,0.939336,0.460518518518518
26,443.6,0.0638367346938775,0.211,0.967,0.471,0.549,84.4375,0.947736,0.488851851851852
27,443.6,0.0671224489795918,0.211,0.967,0.471,0.549,121.4375,0.956136,0.408049382716049
28,443.6,0.0478775510204082,0.211,0.967,0.471,0.549,75.1875,0.964536,0.436382716049383
29,443.6,0.0511632653061224,0.211,0.967,0.471,0.549,112.1875,0.972936,0.464716049382716
30,443.6,0.0544489795918367,0.211,0.967,0.471,0.549,93.6875,0.941016,0.417493827160494
31,443.6,0.057734693877551,0.211,0.967,0.471,0.549,130.6875,0.949416,0.445827160493827
32,443.6,0.0610204081632653,0.211,0.967,0.471,0.549,60.15625,0.957816,0.47416049382716
33,443.6,0.0643061224489796,0.211,0.967,0.471,0.549,97.15625,0.966216,0.426938271604938
34,443.6,0.0675918367346939,0.211,0.967,0.471,0.549,78.65625,0.974616,0.455271604938272
35,443.6,0.0483469387755102,0.211,0.967,0.471,0.549,115.65625,0.942696,0.483604938271605
36,443.6,0.0516326530612245,0.211,0.967,0.471,0.549,69.40625,0.951096,0.411197530864198
37,443.6,0.0549183673469388,0.211,0.967,0.471,0.549,106.40625,0.959496,0.439530864197531
38,443.6,0.0582040816326531,0.211,0.967,0.471,0.549,87.90625,0.967896,0.467864197530864
39,443.6,0.0614897959183673,0.211,0.967,0.471,0.549,124.90625,0.976296,0.420641975308642
40,443.6,0.0647755102040816,0.211,0.967,0.471,0.549,64.78125,0.944376,0.448975308641975
41,443.6,0.0680612244897959,0.211,0.967,0.471,0.549,101.78125,0.952776,0.477308641975309
42,443.6,0.0488163265306122,0.211,0.967,0.471,0.549,83.28125,0.961176,0.430086419753086
43,443.6,0.0521020408163265,0.211,0.967,0.471,0.549,120.28125,0.969576,0.45841975308642
44,443.6,0.0553877551020408,0.211,0.967,0.471,0.549,74.03125,0.977976,0.486753086419753
45,443.6,0.0586734693877551,0.211,0.967,0.471,0.549,111.03125,0.946056,0.414345679012346
46,443.6,0.0619591836734694,0.211,0.967,0.471,0.549,92.53125,0.954456,0.442679012345679
47,443.6,0.0652448979591837,0.211,0.967,0.471,0.549,129.53125,0.962856,0.471012345679012
48,443.6,0.068530612244898,0.211,0.967,0.471,0.549,62.46875,0.971256,0.42379012345679
49,443.6,0.046067055393586,0.211,0.967,0.471,0.549,99.46875,0.979656,0.452123456790123
